Nama Broker,Kode Broker,Nama Emiten,Nama Perusahaan,Tanggal,Buy Value,Buy Lot,Buy Avg,Sell Value,Sell Lot,Sell Avg,Open Price,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Persentase Selisih
MANDIRI SEKURITAS,CC,PICO,Pelangi Indah Canindo Tbk,1/28/2026,78.6M,3.997,197,79.2M,4.156,191,0.0,0.0,218.0,182.0,183.0,-31.0,-16.94%
BNI Sekuritas,NI,PICO,Pelangi Indah Canindo Tbk,1/28/2026,7.4M,393,188,7.3M,390,188,0.0,0.0,218.0,182.0,183.0,-31.0,-16.94%
BRI Danareksa Sekuritas,OD,PICO,Pelangi Indah Canindo Tbk,1/28/2026,5.5M,283,193,,,,0.0,0.0,218.0,182.0,183.0,-31.0,-16.94%
MANDIRI SEKURITAS,CC,PICO,Pelangi Indah Canindo Tbk,1/29/2026,103.7M,6.454,161,33.4M,2.09,160,165.0,165.0,181.0,156.0,176.0,-7.0,-3.98%
BNI Sekuritas,NI,PICO,Pelangi Indah Canindo Tbk,1/29/2026,10.1M,633,159,5.4M,342,159,165.0,165.0,181.0,156.0,176.0,-7.0,-3.98%
BRI Danareksa Sekuritas,OD,PICO,Pelangi Indah Canindo Tbk,1/29/2026,,,,2.1M,129,160,165.0,165.0,181.0,156.0,176.0,-7.0,-3.98%
MANDIRI SEKURITAS,CC,PICO,Pelangi Indah Canindo Tbk,1/30/2026,18.4M,1.049,176,3M,176,172,163.0,164.0,179.0,162.0,166.0,-10.0,-6.02%
BNI Sekuritas,NI,PICO,Pelangi Indah Canindo Tbk,1/30/2026,4.6M,275,166,,,,163.0,164.0,179.0,162.0,166.0,-10.0,-6.02%
BRI Danareksa Sekuritas,OD,PICO,Pelangi Indah Canindo Tbk,1/30/2026,2.5M,149,168,,,,163.0,164.0,179.0,162.0,166.0,-10.0,-6.02%
MANDIRI SEKURITAS,CC,PICO,Pelangi Indah Canindo Tbk,2/2/2026,17.9M,1.199,150,9M,561,161,166.0,167.0,170.0,143.0,143.0,-23.0,-16.08%
BNI Sekuritas,NI,PICO,Pelangi Indah Canindo Tbk,2/2/2026,382.2K,25,153,858K,54,159,166.0,167.0,170.0,143.0,143.0,-23.0,-16.08%
BRI Danareksa Sekuritas,OD,PICO,Pelangi Indah Canindo Tbk,2/2/2026,1.8M,108,166,,,,166.0,167.0,170.0,143.0,143.0,-23.0,-16.08%
MANDIRI SEKURITAS,CC,PLAN,Planet Properindo Jaya Tbk.,1/29/2026,73.4M,7.635,96,35.7M,3.72,96,0.0,0.0,100.0,96.0,96.0,-10.0,-10.42%
BNI Sekuritas,NI,PLAN,Planet Properindo Jaya Tbk.,1/29/2026,422.4K,44,96,,,,0.0,0.0,100.0,96.0,96.0,-10.0,-10.42%
BRI Danareksa Sekuritas,OD,PLAN,Planet Properindo Jaya Tbk.,1/29/2026,19.9M,2.071,96,21.1M,2.201,96,0.0,0.0,100.0,96.0,96.0,-10.0,-10.42%
MANDIRI SEKURITAS,CC,PLAN,Planet Properindo Jaya Tbk.,1/30/2026,14.4M,1.656,87,,,,0.0,0.0,87.0,87.0,87.0,-9.0,-10.34%
BNI Sekuritas,NI,PLAN,Planet Properindo Jaya Tbk.,1/30/2026,2.3M,270,87,,,,0.0,0.0,87.0,87.0,87.0,-9.0,-10.34%
BRI Danareksa Sekuritas,OD,PLAN,Planet Properindo Jaya Tbk.,1/30/2026,4.4M,509,87,,,,0.0,0.0,87.0,87.0,87.0,-9.0,-10.34%
MANDIRI SEKURITAS,CC,PLAN,Planet Properindo Jaya Tbk.,2/2/2026,537.2K,68,79,,,,0.0,0.0,79.0,79.0,79.0,-8.0,-10.13%
BNI Sekuritas,NI,PLAN,Planet Properindo Jaya Tbk.,2/2/2026,118.5K,15,79,,,,0.0,0.0,79.0,79.0,79.0,-8.0,-10.13%
BRI Danareksa Sekuritas,OD,PLAN,Planet Properindo Jaya Tbk.,2/2/2026,537.2K,68,79,,,,0.0,0.0,79.0,79.0,79.0,-8.0,-10.13%
MANDIRI SEKURITAS,CC,PSAB,J Resources Asia Pasifik Tbk.,1/28/2026,14.5B,242.761,597,16.4B,272.634,600,615.0,615.0,625.0,570.0,600.0,-25.0,-4.17%
BNI Sekuritas,NI,PSAB,J Resources Asia Pasifik Tbk.,1/28/2026,,,,2.2B,37.367,597,615.0,615.0,625.0,570.0,600.0,-25.0,-4.17%
MANDIRI SEKURITAS,CC,PSAB,J Resources Asia Pasifik Tbk.,1/29/2026,10.2B,182.222,559,11.9B,205.571,580,610.0,610.0,615.0,510.0,595.0,-5.0,-0.84%
BNI Sekuritas,NI,PSAB,J Resources Asia Pasifik Tbk.,1/29/2026,2.4B,40.843,580,2.3B,40.242,574,610.0,610.0,615.0,510.0,595.0,-5.0,-0.84%
BRI Danareksa Sekuritas,OD,PSAB,J Resources Asia Pasifik Tbk.,1/29/2026,2.2B,38.52,576,,,,610.0,610.0,615.0,510.0,595.0,-5.0,-0.84%
MANDIRI SEKURITAS,CC,PSAB,J Resources Asia Pasifik Tbk.,1/30/2026,9.4B,166.621,563,8.9B,158.163,564,580.0,585.0,595.0,545.0,550.0,-45.0,-8.18%
BNI Sekuritas,NI,PSAB,J Resources Asia Pasifik Tbk.,1/30/2026,1.5B,26.854,563,1.7B,30.358,557,580.0,585.0,595.0,545.0,550.0,-45.0,-8.18%
BRI Danareksa Sekuritas,OD,PSAB,J Resources Asia Pasifik Tbk.,1/30/2026,,,,8.2B,143.185,574,580.0,585.0,595.0,545.0,550.0,-45.0,-8.18%
